line,sentiment,n,e_depth
1,"anger",4,-3
1,"anticipation",1,22
1,"disgust",2,-2
1,"fear",6,-1
1,"joy",1,42
1,"sadness",3,-4
1,"surprise",3,1
1,"trust",7,3
2,"anticipation",2,2
2,"joy",1,4
2,"surprise",1,1
2,"trust",1,3
4,"joy",1,4
6,"anger",1,-3
6,"anticipation",4,2
6,"fear",2,-1
6,"joy",1,4
6,"sadness",1,-4
6,"surprise",2,1
6,"trust",1,3
9,"trust",1,3
10,"anticipation",1,2
10,"joy",1,4
10,"trust",1,3
13,"trust",1,3
14,"disgust",1,-2
15,"anger",1,-3
15,"anticipation",1,2
15,"disgust",2,-2
15,"fear",1,-1
15,"joy",2,4
15,"trust",1,3
16,"anticipation",2,2
16,"disgust",1,-2
16,"joy",2,4
16,"surprise",1,1
16,"trust",1,3
17,"anger",1,-3
17,"anticipation",1,2
17,"disgust",2,-2
17,"fear",1,-1
17,"joy",1,4
17,"sadness",1,-4
17,"surprise",1,1
18,"anger",1,-3
18,"anticipation",4,2
18,"fear",3,-1
18,"joy",5,4
18,"sadness",1,-4
18,"surprise",2,1
18,"trust",2,3
19,"anger",1,-3
19,"anticipation",4,2
19,"fear",1,-1
19,"joy",2,4
19,"trust",1,3
20,"anticipation",2,2
20,"joy",2,4
20,"surprise",2,1
20,"trust",1,3
24,"anticipation",1,2
25,"anger",1,-3
25,"sadness",1,-4
26,"anger",1,-3
26,"anticipation",1,2
26,"disgust",1,-2
26,"fear",1,-1
26,"joy",1,4
26,"sadness",1,-4
26,"surprise",1,1
26,"trust",1,3
27,"anger",1,-3
27,"disgust",2,-2
27,"fear",2,-1
27,"sadness",2,-4
28,"disgust",1,-2
28,"fear",1,-1
28,"sadness",1,-4
31,"anger",1,-3
31,"anticipation",2,2
31,"disgust",1,-2
31,"fear",3,-1
31,"joy",3,4
31,"sadness",2,-4
31,"surprise",2,1
31,"trust",2,3
33,"anticipation",1,2
33,"joy",1,4
33,"surprise",1,1
33,"trust",1,3
34,"joy",1,4
34,"trust",1,3
35,"anger",4,-3
35,"anticipation",4,2
35,"disgust",1,-2
35,"fear",4,-1
35,"joy",3,4
35,"sadness",1,-4
35,"surprise",1,1
35,"trust",1,3
