line,sentiment,n,e_depth
1,"anticipation",3,2
1,"disgust",1,-2
1,"joy",1,4
1,"surprise",1,1
1,"trust",1,3
4,"anticipation",2,2
4,"joy",1,4
4,"surprise",1,1
4,"trust",1,3
10,"anticipation",2,2
10,"joy",1,4
10,"surprise",1,1
10,"trust",1,3
15,"anticipation",2,2
15,"joy",1,4
15,"surprise",1,1
15,"trust",1,3
21,"anticipation",2,2
21,"joy",1,4
21,"surprise",1,1
21,"trust",1,3
27,"anticipation",2,2
27,"joy",1,4
27,"surprise",1,1
27,"trust",1,3
31,"anger",2,-3
31,"anticipation",5,2
31,"disgust",1,-2
31,"fear",2,-1
31,"joy",1,4
31,"sadness",2,-4
31,"surprise",2,1
31,"trust",3,3
32,"anger",1,-3
32,"anticipation",1,2
32,"disgust",1,-2
32,"fear",2,-1
33,"anger",1,-3
33,"anticipation",1,2
33,"fear",1,-1
33,"joy",1,4
33,"sadness",1,-4
33,"surprise",2,1
33,"trust",1,3
35,"anger",1,-3
35,"anticipation",1,2
35,"joy",1,4
35,"surprise",1,1
35,"trust",1,3
38,"anticipation",1,2
38,"trust",2,3
