line,sentiment,n,e_depth
1,"anger",1,-32
1,"anticipation",1,2
1,"fear",1,-12
2,"anger",2,-3
2,"disgust",2,-2
2,"fear",4,-1
2,"joy",2,4
2,"sadness",2,-4
2,"trust",1,3
3,"anger",8,-3
3,"disgust",3,-2
3,"fear",6,-1
3,"sadness",3,-4
3,"trust",3,3
4,"anger",3,-3
4,"anticipation",1,2
4,"fear",4,-1
4,"sadness",1,-4
4,"trust",1,3
5,"anger",3,-3
5,"fear",3,-1
5,"sadness",1,-4
6,"anger",1,-3
6,"anticipation",1,2
6,"fear",1,-1
8,"anger",3,-3
8,"disgust",1,-2
8,"fear",2,-1
10,"anger",1,-3
10,"fear",1,-1
11,"anger",1,-3
11,"fear",1,-1
13,"anger",1,-3
13,"fear",1,-1
14,"anger",1,-3
14,"fear",1,-1
16,"anger",2,-3
16,"disgust",1,-2
16,"fear",1,-1
17,"anger",1,-3
17,"fear",1,-1
19,"anger",1,-3
19,"fear",1,-1
21,"sadness",1,-4
22,"anger",1,-3
22,"fear",1,-1
23,"anger",1,-3
23,"fear",1,-1
24,"anger",1,-3
24,"disgust",1,-2
25,"anger",2,-3
25,"disgust",1,-2
25,"fear",1,-1
26,"anger",1,-3
26,"fear",1,-1
27,"anger",1,-3
27,"disgust",1,-2
28,"anger",1,-3
28,"fear",1,-1
29,"anger",1,-3
29,"disgust",2,-2
29,"fear",1,-1
30,"anger",1,-3
30,"disgust",1,-2
31,"anger",1,-3
31,"fear",1,-1
32,"anger",5,-3
32,"disgust",1,-2
32,"fear",5,-1
32,"joy",1,4
32,"sadness",3,-4
32,"surprise",1,1
32,"trust",2,3
