line,sentiment,n,e_depth
1,"disgust",1,-2
1,"joy",1,4
1,"trust",1,3
2,"anticipation",1,2
3,"anticipation",1,2
3,"disgust",1,-2
4,"anticipation",2,2
4,"disgust",1,-2
5,"anticipation",3,2
5,"disgust",1,-2
5,"fear",4,-1
6,"anticipation",4,2
6,"disgust",1,-2
6,"fear",2,-1
7,"anticipation",5,2
7,"disgust",1,-2
7,"fear",2,-1
8,"anger",4,-3
8,"anticipation",6,2
8,"disgust",5,-2
8,"fear",7,-1
8,"sadness",1,-4
9,"anger",2,-3
9,"anticipation",7,2
9,"disgust",3,-2
9,"fear",5,-1
9,"sadness",1,-4
10,"anger",2,-3
10,"anticipation",8,2
10,"disgust",7,-2
10,"fear",9,-1
10,"sadness",1,-4
11,"anger",2,-3
11,"anticipation",9,2
11,"disgust",6,-2
11,"fear",1,-10
11,"sadness",3,-4
12,"anger",1,-3
12,"disgust",1,-2
12,"fear",1,-1
12,"sadness",1,-4
14,"anger",2,-3
14,"disgust",6,-2
14,"fear",9,-1
14,"sadness",2,-4
14,"surprise",1,1
